Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-12-08,19180.078916,19379.229525,19428.048633,18909
BTC,2020-12-09,18320.986767,19179.779426,19299.267992,18200
BTC,2020-12-10,18549.094214,18321,18641.832428,17646.893954
BTC,2020-12-11,18245.5,18549.209271,18553.531473,17913.5
BTC,2020-12-12,18029.2024,18245.5,18285,17588.285552
BTC,2020-12-13,18808.192565,18031.5,18941.31,18031
BTC,2020-12-14,19162.561718,18808.795094,19409.54,18730
BTC,2020-12-15,19274.021524,19162.562646,19344.912041,19002.69
BTC,2020-12-16,19440.540746,19274.021525,19558.742014,19052.88
BTC,2020-12-17,21379.007416,19440.541005,21566,19302.4
BTC,2020-12-18,22837.68,21378.834603,23750.8,21263.34786
BTC,2020-12-19,23144,22826.48,23280,22361.26
BTC,2020-12-20,23864.021351,23144,24172,22800
BTC,2020-12-21,23480.7,23864.509194,24297.7,23110.5
BTC,2020-12-22,22725.215959,23480.7,24113.493092,21943.19
BTC,2020-12-23,23829.497467,22725.22957,23837,22389.86
BTC,2020-12-24,23245.19675,23829.537827,24074.99,22643.310235
BTC,2020-12-25,23721.661653,23244.206244,23772.203663,22723.1
BTC,2020-12-26,24698.808565,23721.809546,24768.79,23416.01
BTC,2020-12-27,26456.487898,24698.740334,26800,24500.1
BTC,2020-12-28,26251.4,26457.63313,28358.660769,25789.5
BTC,2020-12-29,27038.06,26251.4,27460.88,26088.04
BTC,2020-12-30,27371.80486,27037.994035,27394.45,25859
BTC,2020-12-31,28890.121951,27371.383319,28999.674864,27361.5
BTC,2021-01-01,28984.983403,28890.189885,29303.440063,27999.539289
BTC,2021-01-02,29405.123461,28984.943178,29678.913223,28731.4
BTC,2021-01-03,32216.53,29405.874971,33277.642025,29050
BTC,2021-01-04,33071.5,32216.53,34771.101576,32040
BTC,2021-01-05,32042.188855,33071.5,33657.10014,27882.788701
BTC,2021-01-06,34043.030762,32041.781161,34493.15338,29948.93
BTC,2021-01-07,36881.170952,34043.768603,36997.517719,33400.999
BTC,2021-01-08,39506.26984,36877.946056,40376.096444,36365.5
BTC,2021-01-09,40652.065835,39506.272444,41986.37,36673.348214
BTC,2021-01-10,40256.346011,40652.037472,41405,38800.01
BTC,2021-01-11,38179.5,40256.26674,41438.304897,34818.803017
BTC,2021-01-12,35481.057702,38179.5,38248.3,30298.920624
BTC,2021-01-13,34044.894589,35455.58,36601.074114,32529.7
BTC,2021-01-14,37390,34043.989836,37819.85848,32355
BTC,2021-01-15,39151.6,37390.1,40095.356333,36770
BTC,2021-01-16,36764.5,39151.6,39675.827001,34406.4
BTC,2021-01-17,36029.171468,36764.5,37929.4,35400
BTC,2021-01-18,35816.4,36027.266697,36839.864899,33864.6
BTC,2021-01-19,36616.95,35816.4,37400,34790.83022
BTC,2021-01-20,35926.5,36616.95,37852.1,35922.4
BTC,2021-01-21,35507.803281,35925.6,36395.530183,33420.941129
BTC,2021-01-22,30807.529536,35507.085501,35615.173207,30049.326356
BTC,2021-01-23,33014.831913,30807.499,33853.656451,28801.46
